name,type,district
Sustainable Development Initiative,Local,Blantyre
Sustainable Farming Solutions,Local,Mzuzu
Synod of Livingstonia Church of Central africa Presbyterian,Local,Mzuzu
THE REGISTERED TRUSTEES OF MAI HALIMA ISLAMIC ORPHANAGE,Local,Blantyre
THE REGISTERED TRUSTEES OF THE GREEN LIVELIHOODS,Local,Lilongwe
THE REGISTERED TRUSTEES OF THE INSTITUTE OF TAMVA FRIENDS FOR THE DEAF,Local,Blantyre
TICODE,Local,Lilongwe
TIYENDE PAMODZI FOUNDATION – FOR PERSONS WITH DISABILITIES,International,Mchinji
TOMORROW`S HOPE FOUNDATION LIMITED,Local,Blantyre
TeamLift,International,Karonga
TechnoServe,International,Lilongwe
Teethsavers International Inc.,International,Lilongwe
Teleza Charity Foundation,Local,Balaka
Temwa Malawi,Local,Mzuzu
Thandie John Foundation,Local,Blantyre
The Bible Society of Malawi,Local,Blantyre
The CharChar Trust,Local,Lilongwe
The Chesney Trust,Local,Mzuzu
The Foundation for Rural Development,Local,Lilongwe
The Heartwarmers Foundation,Local,Thyolo
The Malama Feeding Centre Trust,Local,Mangochi
The Mlambe Project Limited,Local,Balaka
The Muona Foundation,Local,Nsanje
The Raising Malawi,Local,Blantyre
The Samaritan Trust,Local,Blantyre
The Sonder Project,International,Kasungu
The Sparkle Foundation,International,Zomba
The Story Workshop and Education Trust,Local,Blantyre
The William Stewart Foundation,Local,Chitipa
Theatre for A Change,Local,Lilongwe
There is Hope,Local,Lilongwe
Tigwiranemanja AIDS Support Organisation,Local,Kasungu
Timveni Child and Youth Media Organisation,Local,Lilongwe
Tiphedzane community Support Organisation,Local,Nsanje
Tiwovyane organization,Local,Nkhatabay
Tiyeni,Local,Mzuzu
Total Ecosystem Management,Local,Lilongwe
Total LandCare Malawi,Local,Lilongwe
Total Life Campaign,Local,Lilongwe
Tovwirane Organisation,Local,Mzimba
Trocaire,International,Lilongwe
Trust Psychosocial Support Limited,Local,Lilongwe
Trustees of Foundation for Community Development Programs,Local,Lilongwe
Tsogola Solar-works,Local,Lilongwe
Tsogolo La Thanzi – Health Future,Local,Balaka
Tubepoka Development Initiative,Local,Chitipa
Ukhondo Services Foundation,Local,Karonga
Umodzi Youth Organization,Local,Blantyre
Umoyo Services Improvement Agency,Local,Lilongwe
Ungweru,Local,Mzuzu
United Purpose,International,Lilongwe
VILLAGE FOUNDATION,International,Mangochi
Vets of Purpose Organization,Local,Lilongwe
VillageReach,International,Lilongwe
Villages in Partnership Malawi,Local,Zomba
Voluntary service Overseas,International,Lilongwe
WASTE Advisers,Local,Blantyre
WOMEN PALM TREE ORGANISATION,Local,Dowa
WORLD BICYCLE RELIEF LIMITED,Local,Lilongwe
WORLD NEIGHBORS LIMITED,International,Mwanza
Wandikweza,Local,Lilongwe
Wasambo Education Foundation,Local,Karonga
Water Wells for Africa,International,Blantyre
Water Witness International,Local,Blantyre
Water Works,International,Lilongwe
Water and Environmental Sanitation Network(WES Network),Local,Lilongwe
Water for People,International,Blantyre
WaterAid  Malawi,International,Lilongwe
Welthungerhilfe,International,Lilongwe
White Ribbon Alliance for Safe Motherhood,Local,Lilongwe
Wildlife and Environmental Society of Malawi,Local,Blantyre
William J Clinton Foundation,International,Lilongwe
With Change In Mind,International,Nkhotakota
Women Lawyers Association,Local,Lilongwe
Women for Fair Development,Local,Blantyre
Women’s Coalition Against Cancer,Local,Lilongwe
Women’s Hope for Change,Local,Mchinji
Women’s Legal Resources Centre,Local,Blantyre
World Child Cancer,International,Blantyre
"World Education, Inc",International,Blantyre
World Learnig Inc,International,Lilongwe
World Renew,International,Lilongwe
World Sharp,International,Lilongwe
Y-AFRICA,Local,Lilongwe
YOUTH SKILLS CENTERED NETWORK,Local,Chiradzulu
Yamba Malawi,Local,Lilongwe
Young Life,International,Blantyre
Young Women’s Christian Association of Malawi,Local,Blantyre
Youth Action for Environmental Management,Local,Salima
Youth Alliance for Sustainable Development,Local,Mchinji
Youth Coalition for the Consolidation of Democracy,Local,Chikhwawa
Youth Corps Foundation,Local,Lilongwe
Youth Empowerment & Education Support Foundation,Local,Blantyre
Youth Net and counselling,Local,Zomba
Youth Network For Adaptation Of Climate Change,Local,Lilongwe
Youth Project Excellence,Local,Lilongwe
Youth Response for Social Change,Local,Machinga
Youth Wave,Local,Lilongwe
Youth and Society (YAS),Local,Mzuzu
Youth for Action Campaign,Local,Mzuzu
Youth for Environment and Sustainable Development,Local,Lilongwe
ZAKEYU MEDICAL CLINIC,Local,Salima
ZIKOMO FOUNDATION LIMITED,Local,Lilongwe
Zam Zam Foundation,Local,Zomba
Zoe Empowers,Local,Lilongwe
iMind Company Limited,Local,Blantyre
mothers2mothers,International,Lilongwe
Active Youth Iniative for Socail Enhancement,Local,Lilongwe
Adolescent Girls Literacy Association,Local,Nsanje
Advocation Rights of People Living with HIV/AIDS and Women Empowernment,Local,Blantyre
Africa Child Foundation,Local,Kasungu
Africa Future Foundation,International,Lilongwe
Africa Mindset Change Development,Local,Blantyre
African Centre of Communication for Development,Local,Lilongwe
African Development & Education Foundation,Local,Blantyre
Agribusiness Systems International,International,Lilongwe
Al-Ehsan and A-Bir Trust,Local,Blantyre
Alinane Chisomo Television Trust,Local,Lilongwe
All Creatures Animal Welfare league,Local,Lilongwe
Ana Onse Mpata Umodzi,Local,Lilongwe
Anna kachikho Foundation,Local,Blantyre
Applied Development Communication and Training Services,Local,Blantyre
Asian Business Community,Local,Blantyre
Association for The  Empowernment of Women,Local,Blantyre
Banda Bola Sports Foundation,Local,Salima
Billy Riordan Memorial Trust,Local,Mangochi
Blantyre Health Research and Training Trust,Local,Blantyre
Blantyre North Relief Project,Local,Blantyre
Bwalo Initiative,Local,Zomba
CHAGUNDA Community PROJECT,Local,Thyolo
Callista Mutharika  Safe Motherhood Foundation,Local,Lilongwe
Capacity Building Unit for NGO’s,Local,Blantyre
Center for Governance and Public Participation,Local,Lilongwe
Center for Youth and Children Affairs,Local,Lilongwe
Centre for Advancement of Sustainable Development,Local,Blantyre
Centre for Agriculture Labour Efficient and Development,Local,Lilongwe
Centre for Children Affairs_Malawi,Local,Chikhwawa
Centre for Community and Youth Development,Local,Lilongwe
Centre for Development Journalism and Advocacy,Local,Lilongwe
"Centre for Development, Research and Information in Southern Africa",Local,Lilongwe
Centre for Health and Development Impact,Local,Lilongwe
Centre for Investigative Journalism in Malawi,Local,Mzuzu
Centre for Legal Assistance,Local,Lilongwe
Centre for Sustainable Development,Local,Blantyre
Centre for Sustainable Integrated Development,Local,Salima
"Centre for Women, Childen and Youth Empowerment",Local,Mzuzu
Centre for Young Leaders in Africa,Local,Lilongwe
Centre for Youth Development and Social Empowerment,Local,Lilongwe
Chambe Centre for Divine Mercy,Local,Thyolo
Chance for Change,International,Lilongwe
Change Her World,Local,Karonga
Chikondano Women and Allied,Local,Blantyre
Child rights Advocacy and Paralegal aid centre,Local,Lilongwe
Children’s Hope,Local,Zomba
Chilengedwe Eco-System Management Organisation,Local,Kasungu
Chingale Neno Recovery & Development Programme,Local,Zomba
Chovwano for Development,Local,Mzimba
Christian Orphan outreach mission,Local,Ntcheu
Christian Service Committee of the Churches in Malawi,Local,Kasungu
Citizens Health,Local,Lilongwe
Citizens for justice,Local,Lilongwe
Civil Liberties Committee,Local,Blantyre
Climate Friendly Food and Fuel,Local,Lilongwe
Co-ordination Unit for Rehabilitation of the Environment,Local,Blantyre
Coalition for the Empowerment of Women and Girls,Local,Lilongwe
Coalition on Media and Education for Development Africa Forum,Local,Lilongwe
Collective Action For Sustainable Community Development,Local,Lilongwe
Comitato Internazionale Per Lo Sviluppo Dei Popoli,International,Lilongwe
Commercial drivers Rehabilitation Consultative Council,Local,Lilongwe
Communities in Development Activities,Local,Mzimba
Community Against Diabetes & Hypertension,Local,Lilongwe
Community Care Project Trust,Local,Lilongwe
Community Centre for Youth Support,Local,Lilongwe
Community Enrichment Services Limited,Local,Lilongwe
Community Health Rights Advocacy Limited,Local,Lilongwe
Community for Youth Development,Local,Mzuzu
Corruption and Rights Watch,Local,Lilongwe
Counselling of the Adolescent and Youth Organisation,Local,Lilongwe
Creative Centre for Learning Disability,Local,Lilongwe
DEFAM,Local,Lilongwe
Development and Equity in Training Aid,Local,Lilongwe
Disabilty HIV and Aids Trust,Local,Lilongwe
Disabled Women in Africa,Local,Lilongwe
Disabled Women in Development,Local,Blantyre
Dominion Foundation,Local,Lilongwe
Dream Big Global Initiative,Local,Blantyre
ECHO Africa,Local,Blantyre
Ecumenical Counselling Centre,Local,Lilongwe
Education Commision,Local,Lilongwe
Education Commission of Lilongwe,Local,Lilongwe
Eldery People Association,Local,Blantyre
Elohim Ministries,Local,Lilongwe
Engage the Nations,Local,Dowa
Environment Africa,International,Lilongwe
Environmental and Education resources Development Trust,Local,Blantyre
Equitas,Local,Lilongwe
Eye for Development,Local,Lilongwe
Facilitators of Community Transformation,Local,Lilongwe
Faith Orphanage and Youth Organisation,Local,Blantyre
"Family Rights, Elderly and Child  Protection",Local,Blantyre
Farmers Forum for Trade and Social Justice FAFOTRAJ),Local,Lilongwe
Female Education and Empowerment Centre Trust,Local,Thyolo
Fletcher Moyo Foundation,Local,Lilongwe
Forum for AIDS Counselling and Training,Local,Lilongwe
Forum for Civic Education,Local,Lilongwe
Foundation for Actions Against AIDS and for Sustained Development,Local,Lilongwe
Foundation for Arts and Culture,Local,Lilongwe
Foundation for Development and Population Initiatives,Local,Lilongwe
Foundation for Rural Development,Local,Blantyre
Foundation for Volunteers Services,Local,Blantyre
Fountain of Life,Local,Lilongwe
Friends of Machinga,Local,Machinga
Friends of Sick Children,Local,Blantyre
Future of Children Foundation,Local,Salima
GGEM Farming,Local,Nkhotakota
Gertrude Muthalika Beautify Malawi Trust,Local,Lilongwe
Gift Foundation,Local,Lilongwe
Girl Effect,International,Lilongwe
"Girl-child Education, HIV and Aids",Local,Mchinji
Girls Education Program SWEMAL,Local,Dowa
Girls Education and Women Empowerment,Local,Blantyre
Global Hope Mobilisation,Local,Lilongwe
God’s  Project,Local,Blantyre
Good News Corps,Local,Lilongwe
"Governance, Gender, Justice and Development Centre",Local,Lilongwe
Grace Foundation,Local,Lilongwe
Grains Hope Mobilisation,Local,Lilongwe
Grassroots Movement for Health & Development,Local,Lilongwe
H.E.L.P Malawi,International,Balaka
H.H.K Mission,International,Zomba
Happy Heart Trust,Local,Mangochi
Healing Every National,Local,Blantyre
Health and Rights education Programme,Local,Blantyre
Henri Mumba Foundation,Local,Lilongwe
Hivos Foundation,International,Lilongwe
Hope African  International,International,Lilongwe
Hope Missions Ministries,Local,Lilongwe
Hope for Adolescents,Local,Nkhotakota
Hope for Cancer Foundation,Local,Lilongwe
Hope for Children Development Initiative,Local,Lilongwe
Hope for Empowerment of Local Communities,Local,Lilongwe
Hope for The Blind,Local,Lilongwe
Hope for the Heart Missions,Local,Lilongwe
Hope for the Nations,Local,Lilongwe
IGA Malawi,Local,Lilongwe
IQRA Islamic Vision,Local,Mangochi
Innovation Fish Farmers Network Trust,Local,Lilongwe
Innovation for Development,Local,Blantyre
Innovations for Poverty Action,International,Lilongwe
Intergrated Health Initiative,Local,Lilongwe
Jesuit World Learning,Local,Dowa
Joy to the World Ministries,Local,Lilongwe
Joyce Banda Foundation International,International,Blantyre
Judith Foundation,Local,Lilongwe
Kamamina Orphan Support and Skills Centre,Local,Lilongwe
Kaporo foundation Community trust,Local,Karonga
Kasalika Community development Organisation,Local,Dowa
Kidney research Foundation,Local,Blantyre
Knowledge of the Laws of the Land,Local,Mzuzu
Kusewera,Local,Lilongwe
Landnet Malawi,Local,Lilongwe
Learning Aid Limited,Local,Lilongwe
Legal resources Foundation,Local,Blantyre
Leples Vision for the Needy,Local,Lilongwe
Lifecare Foundation Malawi,Local,Blantyre
Lift me up,Local,Blantyre
Ligowe Community Development Organisation,Local,Neno
Likoma Conservation Foundation,Local,Likoma
Link for Citizen Empowerment and Development,Local,Lilongwe
Lipangwe Organic manure Demonstrarion farm,Local,Ntcheu
Literacy For Change,Local,Lilongwe
Little Dresses for Africa,Local,Lilongwe
"Lobbying for Peace, Justice and Transparency",Local,Mzuzu
Lukas Foundation,Local,Blantyre
M’bawa Herbalists Association,Local,Lilongwe
Malawi AIDS Counselling Resource Organisation,Local,Lilongwe
Malawi Centre for Advice Research & Education on Rights,Local,Blantyre
Malawi Enterprise Zone Association,Local,Lilongwe
Malawi Human Rights Youth Network,Local,Lilongwe
Malawi Network of People Living with HIV/AIDS,Local,Lilongwe
Malawi Women Association,Local,Lilongwe
Mama Africa Foundation Trusta,Local,Lilongwe
Mchenga Local NGO,Local,Lilongwe
Mchinji Orphanage (Home of Hope),Local,Mchinji
Medic to Medic,Local,Lilongwe
Medicines San Frontiers-Belgium,International,Lilongwe
Medicins Sans Frontiers-France,International,Blantyre
Mercy Care,Local,Lilongwe
Mercy Charity Foundation,Local,Salima
Mibawa Multimedia for Social Development,Local,Blantyre
Micro Loan Foundation,International,Kasungu
Mineral and Appropriate technology Applicable in Malawi,Local,Lilongwe
Ministry of Zoey’s Place,International,Lilongwe
Miracle Foundation,Local,Balaka
"Miske Witt & Associates, Inc",International,Lilongwe
Mother Mary’s Children Centre,Local,Chikhwawa
Mothers Helping Hand Trust,Local,Blantyre
Mothers Support Initiative Trust,Local,Lilongwe
Mpherere Association for Development in Education,Local,Ntchisi
Munawwarah Islamic Organisation,Local,Blantyre
Muni Vocational Home Centre,Local,Blantyre
Muslim Association of Malawi,Local,Blantyre
NASO Trust-For Positive Mindset Change,Local,Nkhotakota
NGO Gender Coordination network,Local,Lilongwe
Naki Foundation,Local,Blantyre
Nanzikambe Arts development Organisation,Local,Lilongwe
National  Association of Business Women,Local,Lilongwe
National Association for People Living with HIV/AIDS in Malawi,Local,Lilongwe
National Cooperation Business association -CLUSA International,International,Blantyre
National Elections Systems Trust,Local,Blantyre
Nature Conservation and Humanitarian Support Organisation,Local,Blantyre
Ndi tsogolo langa,Local,Lilongwe
New Vision Foundation Trust,Local,Lilongwe
Nkhotakota Community Radio,Local,Nkhotakota
Nvak Foundation,International,Lilongwe
OUR AIM FOUNDATION,Local,Mchinji
Organizaciao Fraternidade Sem Fronteiras,International,Dowa
Orphan Care Malawi Project,Local,Blantyre
"Orphan Widow, Aids, Campaign Organisation",Local,Lilongwe
Oxfam Ireland,Local,Lilongwe
Paediatric Surgery Trust,Local,Blantyre
Pamoza International,Local,Mzimba
Pamudzi Community Trust,Local,Blantyre
Pang’ono Pang’ono O.D.V,International,Balaka
Participatory Rural Development Organisation,Local,Lilongwe
Partner for Development,Local,Lilongwe
Partners Alliance in Development,Local,Lilongwe
Partnership for Human Security,Local,Lilongwe
Peachtree Tubepoka Legacies,Local,Chitipa
Perivoli Schools Trust,International,Lilongwe
Philadelphia Missionary Training Centre,Local,Neno
Phokera Health Initiative,Local,Lilongwe
Positive Action for Youth and Women,Local,Dowa
Prisca Care Foundation,Local,Lilongwe
Professional Women’s Network,Local,Lilongwe
Programme for Rural Empowerment,Local,Lilongwe
Project Child Malawi,Local,Lilongwe
Project Heart to Heart Malawi,Local,Blantyre
Project Hope Malawi,International,Lilongwe
Project Revival,Local,Lilongwe
Public Affairs Committee,Local,Lilongwe
Public Service Pensioners Association,Local,Lilongwe
Pump Aid,International,Lilongwe
Reflecting Foundation,Local,Blantyre
Reha,Local,Lilongwe
Rejoice in Hope (Sister to Brother),Local,Lilongwe
Research For Equity and Community Health-Trust,Local,Lilongwe
Research Triangle Institute,International,Lilongwe
Resilient Communities Africa Trust,Local,Blantyre
Rhoda Foundation for Development Initiatives,Local,Mzimba
Rights Advice Centre,Local,Dedza
Rights institute for Social Empowerment,Local,Lilongwe
Rumphi HIV/AIDS and Education Awareness programme,Local,Rumphi
Rural Education Support and Rehabilitation Unit,Local,Blantyre
SAFAIDS,International,Lilongwe
Salima HIV/AIDS Support Organisation,Local,Salima
Sandi-Thandiza,Local,Lilongwe
Save the Youth Organisation,Local,Lilongwe
Seward incorporated,International,Lilongwe
Sheikhs Ulama Council of malawi,Local,Lilongwe
Small Scale Livestock promotion programme,Local,Lilongwe
Social Foundation justice Development Council,Local,Zomba
Social Initiative Program and Community Innovation Organisation,Local,Blantyre
Society for Women and Aids in malawi,Local,Lilongwe
Sparrows Girls’ Foundation,Local,Lilongwe
Special Olympics Malawi,Local,Blantyre
Sugarcane Growers Association of malawi,Local,Nkhotakota
Support Elderly People and Youth Initiative Organisation,Local,Lilongwe
Support the Children Initiative,Local,Lilongwe
Sustainable Community Development Through Peoples Participation,Local,Chikhwawa
Sustainable Rural Community development  Organisation,Local,Nsanje
The Archdiocese Lilongwe Diocese Catholic Health Commision,Local,Lilongwe
The New Restoration Ministries international,Local,Lilongwe
Tigwirane Manja Organisation,Local,Blantyre
Titha Organisation for Persons with Disability,Local,Lilongwe
Tithandizane Association for the Blind,Local,Blantyre
Tithandizane Youth Support Organisation,Local,Balaka
Tiwakhululukire Iwowa Initiative,Local,Blantyre
Training Support for Partners,Local,Lilongwe
Ufulu Malawi,International,Lilongwe
Ulimi Trust,Local,Mangochi
Umunthu Foundation,Local,Blantyre
United Village Transformation,International,Lilongwe
Unlimited Youth Organisation,Local,Mzuzu
Village Savings and Development Enhancement Initiative,Local,Dedza
Village of Hope,International,Lilongwe
VoiceFlame,International,Lilongwe
Wakisa Local NGO,Local,Lilongwe
War on Want Northern Ireland,International,Salima
Wellspring Ministries,Local,Lilongwe
Women and Law in Southern Africa,Local,Blantyre
Women in Partnership Against HIV and AIDS,Local,Blantyre
Work for Rural Health,Local,Lilongwe
World Connect INC,International,Lilongwe
World Hope International,International,Blantyre
World Medical Fund,International,Nkhotakota
World University Service of Canada,International,Lilongwe
Yaboki Social Welfare Organisation,Local,Lilongwe
Youth Initiative for Change and Development,Local,Blantyre
Youth and Childrens Rights Shield,Local,Dedza
Youth for Development and Productivity,Local,Zomba
Youth for Green World,Local,Blantyre
"Youth of Malawi, INC",International,Mchinji
